1.5	NYTimes: Andrew Revkin on next steps for China in cleaning up pollution.	Charting a Post-Pollution Path for Cities - From London, 1952, through Beijing, 2013
3.6	Justice Clarence Thomas Breaks His SilenceTELL THE JUSTICE THAT COURTESY WILL NOT PROTECT CITIZENS RIGHTS.GET WITH IT!	Justice Thomas Breaks His Silence in Court
3.4	NATO: Missile battery opens on Syrian border  this could set forth an unwanted chain of events here.	NATO: Patriot missile battery operational on Syrian border
4	What's wrong with the Boeing Dreamliner? ". Airlines must be SO happy!	What's wrong with the Dreamliner?
4.6	Hopefully not together ": Richard Pryor & Dick Cheney Focus of Showtime Documentaries "	Richard Pryor and Dick Cheney Focus of Showtime Documentaries
3.4	We will pass a milestone this year: the majority of the fish we eat will be farm-raised rather than wild	A Milestone Looms for Farm-Raised Fish
1	Design, design, design. ?We?re on the tail end of technology being special,? says John Maeda.	Disruptions: Disruptions: Design Is Driving Technology Forward
4.4	Interesting article on the CNN homepage. "Mickleson has a point on taxes."	Mickelson has a point on taxes
3.2	Pictures of the Day: Pakistan, Syria, Indonesia, Germany, Phillipines and Mali.	Pictures of the Day: Pakistan and Elsewhere
3.8	How #Vine video may change Twitter #in	6 ways Vine's six seconds may change Twitter
1.2	+1 MT ? "I loathe writing with..a kind of phobia.. only a sort of perverse masochism keeps me at it" Styron	?Selected Letters of William Styron?
4.6	SPORT: MT  Lance Armstrong confesses to doping. Next step? Testifying against the higher-ups in cycling.	Armstrong Admits Doping, and Says He Will Testify Against Cycling Officials
4	Bloomberg chips in a billion	Bloomberg gives $1.1B to university
4.4	U.S. government-supported rescue mission of French hostage in Somalia failed.	U.S. supported France's failed hostage rescue in Somalia
4.4	NYTimes: Is Delhi So Different From Steubenville, USA?	Op-Ed Columnist: Is Delhi So Different From Steubenville?
2.6	Cardinal Mahony, abuser of liturgies and shielder of child abusers. So sad and frustrating.	Mahony Shielded Abusive Priests, Documents Show
1.6	"Tennis: Djokovic claims Aussie triumph  ZmerchNews dot Com"	Djokovic: 3 Aussie wins in a row
2	Man Crapping Killed in Fall Between Subway Cars	Train Kills Man in 125th Street Subway Station
2.6	#US details help in failed #hostage rescue. #Somalia #France	U.S. supported France's failed hostage rescue in Somalia
4.4	Microsoft's Windows 8 sales are OK, not great  CNNMoney	Microsoft's Windows 8 sales are big -- just not big enough
3.4	Internet Activist #AaronSwartz,Creator of #RSS, Is Dead at 26- Suicide. Was the pressure of pending lawsuits too much?	Aaron Swartz, Internet Activist, Dies at 26
4	The truth about publicity...  Bad publicity does exist. #pr #media	Maybe There Is Such a Thing as Bad Publicity
3.6	#Revolution Hits the #Universities by   #distance #education #sustainability	Op-Ed Columnist: Revolution Hits the Universities
3.8	VICKI HUDDLESTON : Why We Must Help #Save #Mali	Op-Ed Contributor: Why We Must Help Save Mali
4.4	This is a weird article. "Ray Kurzweil Says We’re Going to Live Forever"	Talk: Ray Kurzweil Says We?re Going to Live Forever
1	Daannngg! ?: Lance Armstrong tells Oprah he couldn?t have won 7 Tour de France titles without doping ?	Armstrong stripped of Olympic medal
2.6	Apple makes a $13.1 billion profit, sells 28% more iPhones and 48% more iPads. Stock dips 11%	Apple?s Profits Are Flat, and Stock Drops
4.6	When does life begin? Catholic hospital argues that an embryo is not a person.	Catholic hospital's lawyers argue fetus not a person
3.8	Two years after the Egyptian Revolution... U.S gets it wrong on Egypt again -	Opinion: U.S gets it wrong on Egypt, again
4.6	After Armstrong Admits Doping 2 Oprah years 2 late, he now says He Will Testify Against alleged Doping Officials	Armstrong Admits Doping, and Says He Will Testify Against Cycling Officials
1.8	Wait, bribing kids is bad? #notmomoftheyearafterall	This Life: Modifying a Child?s Behavior Without Resorting to Bribes ? This Life
2.6	#Disney 's new #videogame , via NYTimes: Video Game Combines the Worlds of Disney	Media Decoder Blog: New Video Game Features Disney and Pixar Mash-Ups
4.4	In the Gowanus Canal, a dolphin	Dolphin Swimming in Gowanus Canal
4	Senator Schumer Says He?s Satisfied With Chuck Hagel on the Mideast. His endorsement should settle that issue.	Schumer Says He?s Satisfied With Hagel on Mideast
4.2	Producer of popular gun-related videos shot. Every gun death is a tragedy.	Producer of popular gun-related videos found fatally shot
0	interesting and sensible	Opinionator: Back When I Was Packing
3.4	Sign of inaccessible, culturally incompetent mainstream care? As ?Bodega Clinicas? Fill Void, Health Officials Are Torn	?Bodega Clinicas? Draw Interest of Health Officials
2.4	Rome's colorful Colosseum	Rome's Colosseum gives up secrets
4.8	": Samsung profit at record $6.6 billion "	Samsung profit soars to $6.6B record
3.2	Spanish police seize items intended for Iran. Qu? mal rollo...	Spanish police say seized items intended for Iran nuclear program
0.8	This is a pretty amazing read. #howstuffworks NYTimes: Coins, Bills and the National Debt	Economix Blog: Bruce Bartlett: Accounting for a $1 Trillion Platinum Coin
1.6	Fitness Center in a #Hotel Room	Urban Athlete: A Hotel Room Workout From Nicole Glor
1.4	I'm surprised by the lack of coverage of the N Ireland riots.	Police deploy water cannon at Northern Ireland riot
4	Saudis defend #SriLankan maid's #execution	Saudis defend maid's beheading
3.6	The worst kind of poor flying judgement. Stunt plane barely missing two people prompts FAA probe.	Video of stunt plane barely missing two people prompts FAA probe
2.2	on Hillary Clinton's FP approach	IHT Rendezvous: The Clinton Doctrine of American Foreign Policy
2.6	An Insider Returns to Politics in Italy #memofromrome #politics	Berlusconi Stirs Up Elections in Italy
3.6	Sign of the #apocalypse: Voice of Charlie Brown arrested, charged. ?	Good grief! Charlie Brown actor charged
3.8	A really nicely written story: In the Subways, a Voice to Stir the Soul	In the Subways, Geechee Dan?s Voice Stirs the Soul
4.2	CES keynote: Young people today are 'born #mobile'  #hitech	CES: Young people are 'born mobile'
2.6	What prevents people from being able to die at home is not their medical needs, but the needs of their #caregiver #hpm	The New Old Age Blog: What You Need to Bring Your Loved One Home to Die
3	U.S. Warplanes Enter Somalia Airspace MR. POTUS; WRITE ANOTHER LETTER&TELL FRENCH WE'RE NOT IN THE MOOD FOR THEIR MESS.	U.S. Warplanes Enter Somali Airspace
2.8	Climate Change at CNN: Next step: Obama's State of the Union speech on February 12....	Climate change activists to Obama: Steer clear of Congress
3.4	RSS and Reddit co-developper Aaron Swartz commits suicide	Online activist Aaron Swartz commits suicide
4.6	Charlie Brown voice actor charged	Good grief! Charlie Brown actor charged
0	NJFF is showing this film on Jan 26 at Rutgers University:	Our Generation: ?Set for Life? Documents Crisis Among Baby Boomers
2.5	Dreamliner having fitful rollout. How tough is this for Boeing?	Deepening Crisis for the Dreamliner
2.8	What We Don’t Know Is Killing Us  The gun industry can't handle the truth.	Editorial: What We Don?t Know Is Killing Us
3.8	India Ink: Woman Raped by Seven Men in Punjab, Police Say: Police said Sunday that a 29-year-old woman had been ...	India Ink: Woman Raped by Seven Men in Punjab, India, Police Say
5	#Photos: #KimJongUn and his army forces	Photos: Kim Jong Un and his military
3.4	Indonesian official: Rape victims enjoy it Oh hell no they don't	Would-be judge suggests women enjoy rape
2	So wait, you think I want to search #Facebook, and use Bing as the back up?  ha.	Bits Blog: Facebook Unveils a New Search Tool
3	ICYMI, Facebook unveiled a new search tool today: "Graph Searchl"	Bits Blog: Facebook Unveils a New Search Tool
4.4	"humanitarian emergency."declared by Aid groups in Syria "	'Humanitarian emergency' in Syria
3.4	President ? If she wants it	President Hillary Clinton? If she wants it
0	They deserve such unkind words.	Kenyan rangers hunt poachers who killed 11 elephants for ivory
0	A great piece in the NYT mag on story, lit, and media.	Riff: Once Upon a Time, There Was a Person Who Said, ?Once Upon a Time?
3.8	Review: Facebook's Graph Search not v. useful - CNN  "only two of my 526 friends like cats"...say no more	Review: Facebook's Graph Search is not very useful
4.4	Ukraine signs shale gas drilling deal with #Shell at #Davos #energy #marketentry	Ukraine Signs Drilling Deal With Shell for Shale Gas
3.6	By the numbers: Women in the U.S. military nah not good idea	By numbers: Women in U.S. military
1.2	Try something new on your next vacation.	Exotic culinary tours around the world
4.25	": Britney Spears calls off engagement " loool CNN reports this? Where is this world going?	Britney Spears, Jason Trawick call off engagement
2.2	Pooping Man Killed in Fall Between Subway Cars	Train Kills Man in 125th Street Subway Station
4	Thank goodness. ?: Man charged with murder in Philadelphia doctor's death. ?	Man charged with murder in doctor's death, source says
4.2	Teen murdered in West Bank by Israeli military occupation force , activists say -	Teen shot in West Bank by Israeli military, activists say
1.4	live to eat or eat to live? I take the former.	Big City: New Generation Confronts Unaffordable Luxury of Food
4.6	Boosting Your #Flu Shot Response With #Exercise	Exercise Can Boost Flu Shot's Potency
2.4	Smartphones are lifes remote control -	Smartphones Can Now Run Consumers? Lives
3.4	Er diab... ": At least 245 killed in Brazil nightclub fire "	Hundreds killed in Brazil nightclub fire
3	2013 Oscar nominations: Who got	2013 Oscar nods: Who got snubbed?
0.8	NYT reports on my intvu with Ehud Barak, links to Daily Beast  #wef #israel #iran #nukes #war	Defense Official Hints That Israel Is Stepping Back From Plans to Unilaterally Attack Iran
2.5	Convicted in Thailand of *implying* an insult to the king. ?There was no mention of the king?s name in the speech.?	In Thailand, a Broader Definition of Insulting Royalty
1.8	"Escape from La Crosse" The Preppers Next Door	The Doomsday Preppers of New York
3.8	Can Oprah save Lance Armstrong?  She's not convinced  #Doprah	Can even Oprah save Lance Armstrong?
4	Notre Dame linebacker victim of a Catfish type hoax?	Notre Dame linebacker says he is victim of hoax
2.2	Morning athletic inspiration (let everyone compete!): Forging Path to Starting Line for Younger Disabled Athletes  #NYT	Disabled Athletes Suit Up, Raising Questions of Logistics and Fairness
1.2	Michael R. Bloomberg credits #JohnsHopkinsUniversity for turning him into a leader	At $1.1 Billion, Bloomberg Is Top University Donor in U.S.
3.4	This is ludicrous. Sheriff: I won't enforce Obama's gun laws. Really?	Sheriff won't enforce 'unconstitutional' gun laws
4	Man outsources own job to China	U.S. man outsources job to China, surfs cat videos
3.6	Morsi?s Slurs Against Jews in 2010 Uncovered	Morsi?s Slurs Against Jews Stir Concern
0	thins just don't add up just when North Korea successfully lunched a rocket now America allows this. Or am I...	How America's top general came to endorse women in combat
0.4	you are an #inspiration!  #Keepfighting	The front lines in fight for women
2.8	Study: College-educated weathered downturn best:	Study Shows College Degree?s Value During Economic Downturn
4	sadness.": Dolphin stuck in polluted NYC canal dies. ”	Dolphin stuck in New York canal dies
3.4	"Errors may have exposed veterans to viruses" Uh oh...	Insulin injection errors may have exposed veterans to viruses
0.6	Today I learned "Currently, there is no federal law that defines gun trafficking as a crime." I am at a loss for words.	Senator Unveils Bill to Limit Semiautomatic Arms
2.4	President Obama turning to Ex-Prosecutor Mary Jo White to Be Securities and Exchange Commission (S.E.C.) Boss	Mary Jo White to Be Named New S.E.C. Boss
3.4	Wow. A brief but eye-opening piece in the : A Pedophile in Plain Sight	Opinion: At Poly Prep, a Pedophile in Plain Sight
4	Good read...Why the Net grieves Aaron Swartz -	Why world grieves Aaron Swartz
4.2	Finally Armstrong Admits Doping, and Says He Will Testify	Armstrong Admits Doping, and Says He Will Testify Against Cycling Officials
0.6	Great informative article that shows PepsiCo's cooperation with resolving this health issue and placing consumers first	Gatorade Listens to a Teen And Changes Its Formula
3.8	How the US has changed in my lifetime:	From Reagan to Obama, how we have changed as a nation
4.8	The New York Times: Chinese Firm Buys U.S. Solar Start-Up	Chinese Firm Buys an American Solar Technology Start-Up
4.4	In France, Protesters rally against allowing same-sex marriage	French rally: No to same-sex marriage
4.4	FOLLOW THE DINERO: Cuomo Raises $22.5 Million for Re-election Bid	Cuomo Raises Nearly $22.5 Million for Re-election Campaign
2.2	China is investing in #education -  #highered #edpolicy	Next Made-in-China Boom: College Graduates
3.2	Can Livestrong survive Lance Armstrong doping admission ?	Livestrong has life after Lance
3.6	Build a fence around your good health! Your top flu questions answered.	Your top 10 flu questions answered
3.2	Johnson & Johnson Aware of 40% Failure in Hip Implant  #hipimplant	Maker Aware of 40% Failure in Hip Implant
4.2	'Is there a worse way to live?'  (cc: ) #JIDF	'Is there a worse way to live than this?'
2.2	Gun violence is absolute a #publichealth issue. Good work,  on your gun reform for a generation  #itsastart	Editorial: President Obama?s Plan for Gun Reform
3.6	AZ Gov Jan Brewer changes her mind and will expand Medicaid:  #Medicaid	National Briefing | Southwest: Arizona: Governor Relents on Medicaid
4.6	Worth reading for the column excerpts: Pauline Phillips, Dear Abby, Dies at 94	Pauline Phillips, Flinty Adviser to Millions as Dear Abby, Dies at 94
3	#Myanmar s Fight With Armed #Rebels Edges Toward China  #burma #kachin	Myanmar Fighting Edges Toward China
3.4	Truly a sad day. At least 90 killed in Brazil nightclub fire	Hundreds killed in Brazil nightclub fire
2.2	US inadvertently trained rebels: French Strikes in Mali Supplant Caution of U.S.	French Jets Strike Deep Inside Islamist-Held Mali
3.4	Calorie bomb on the menu  will make eaters feel guilt after finish those meals	9 calorie bombs at restaurants
3.6	Facebook was the most popular mobile app in the United States in 2012	Facebook's mobile app takes top spot
4.6	An Alarm in the Offing on #ClimateChange      #ExtremeWeather #globalwarming #eco	An Alarm in the Offing on Climate Change
4	Syria: Deadly airstrikes in Damascus	Syria Launches Deadly Airstrikes in Damascus Suburbs
1.8	Two of our favorite partners,  and , have teamed to bring more music to your commute.	Ford Announces In-Car Voice Commands for Amazon's Cloud Music
3.6	Amazing, you can play violent shooting games &nobody says anything but the NRA draws heat over new target-shooting game	NRA draws heat for shooting game
4	Worth Watching. "Set for Life" Documenting a Generation?s Fall.   #work #unemployment #babyboomer	Our Generation: ?Set for Life? Documents Crisis Among Baby Boomers
4	Dreamliner fix: 'It's not easy' -  this a big mess that is not easy.	787 Dreamliner fix: 'It's not easy'
4	NYT Editorial: What We Don’t Know Is Killing Us  #research #guns #violence	Editorial: What We Don?t Know Is Killing Us
0	Think so? They don't think so!	President Hillary Clinton? If she wants it
0.4	Pulitzer-winning poet Tracy K. Smith's Sunday routine:	Poetry, Puppets and Playgrounds
2.8	Position "eliminated". Hmm. I read "exterminated". Times Executive Is Leaving	Times Communications Executive Is Leaving
4.2	Mr. Drummond, yep...showing my age: Conrad Bain, Father on ?Diff?rent Strokes?, Dies at 89	Conrad Bain, Actor on ?Diff?rent Strokes,? Dies at 89
3.8	Saudi Arabia defends maid's execution	Saudis defend maid's beheading
0.8	"Facebook has a lot of data, but it?s very noisy data."	Fortunes of Facebook May Hinge on Searches
2	CNN Recent nightclub tragedies: On Saturday, a massive fire at the Kiss nightclub in southern Brazil killed at l...	Deadly blazes: Nightclub tragedies in recent history
3.8	North Korea sendin them threats again	North Korea Issues Blunt New Threat to United States
4.2	We're all human, No MORE DEATH Please! Another Tibetan sets himself on fire, dies to protest Chinese rule	Tibetan sets himself on fire to protest Chinese rule
3.6	Coca-Cola joining the fight on obesity	Coca-Cola weighs in on obesity fight
2	Prayers for Burt Reynolds	Burt Reynolds 'feeling better' but still in ICU, rep says
1.2	'Taliban' is plural, but that is apparently too esoteric for CNN or any other journalists: .	'American Taliban' wins right to group prayer
2.4	Saudi activists say they won't be silenced~~I hope they find a way to get their rights peacefully!	Saudi activists say kingdom trying to silence them
4.6	When doctors don't listen what can you do?	What to do when doctors don't listen
2.2	Jodie Foster would care more about Syria Launching Deadly Airstrikes in Damascus Suburbs	Syria Launches Deadly Airstrikes in Damascus Suburbs
0.8	Bending the Steakhouse Rules #food #eatingout	Restaurant Review: Arlington Club on the Upper East Side
3	Excellent step with tricky legal issues.New York Lawmakers Reach Deal on New Gun Curbs  #law #cdnpoli	New York Legislators Hope for Speedy Vote on New Gun Laws
3.6	'Anonymous' threatens Justice Dept. 'Anonymous' threatens Justice Dept	Hacktivist group threatens Justice Department
3.8	At least 245 killed in Brazil nightclub fire, such a shame	Hundreds killed in Brazil nightclub fire
3.4	Internet addiction of the day: 'What Happens When You Cast Lindsay Lohan in Your Movie'	Here Is What Happens When You Cast Lindsay Lohan in Your Movie
1	Great piece by  in NYT showing China too has what McKinsey sees as a global education-to-work problem:	Chinese Graduates Say No Thanks to Factory Jobs
2.2	On the virtues of procrastination: This Was Supposed to Be My Column for New Year?s Day	Findings: Positive Procrastination, Not an Oxymoron
4	France: We're not the pacifists you think we are -  Mali	Why France is not pacifist nation
3.8	The Bizarre World of Online Relationships: Image of Manti Te'o Becomes a Puzzle as Theories Swirl	Image of Manti Te?o Becomes Puzzle as Theories Swirl
3.8	Washington's Economic Boom, Financed by You  Real life "Hunger Games"	Washington?s Economic Boom, Financed by You
0.4	Finally confirmed - chapped lips are the first sign you?ve got Mad Cow disease.	Opinion: Hypochondria: An Inside Look
2.8	Swatch plays a big hand on $1B Harry Winston acqusition  get it, big hand... #iexplainmyjokes	Swatch to Buy Watch and Jewelry Business of Harry Winston for $750 Million
4.6	States get extension on #healthexchange timetable: : States Get Extra Time to Set Up Exchanges  #ACA #HCR	States Will Be Given Extra Time to Set Up Health Insurance Exchanges
2.4	"Live by the sword ... " Sad and ironic. Producer of popular gun-related videos shot	Producer of popular gun-related videos found fatally shot
4.6	Kobe Bryant, wife to call off divorce  yaayy! lol.	Kobe Bryant and wife call off divorce
2.6	Excellent!?: #Obama accelerating troops withdrawal from #Afghanistan, several months ahead of schedule: ?	Obama, Karzai to speed military transition
3.4	obit: Vincent Sombrotto, leader of 1970 strike that shut post offices across country 'til Nixon sent the National Guard	Vincent Sombrotto, Who Led Postal Strike, Dies at 89
3	So heartbreaking “: At least 90 killed in Brazilian nightclub fire, officials say. ”	Hundreds killed in Brazil nightclub fire
3.6	More reason to review a more progressive pro-domestic tax structure "America's Productivity Climbs, but Wages Stagnate"	News Analysis: America?s Productivity Climbs, but Wages Stagnate
3.6	This is interesting: "What We Don’t Know Is Killing Us"  .	Editorial: What We Don?t Know Is Killing Us
2.6	When i first saw this sing guy on the subway, i thought he needed an article. And NYT has delivered!	In the Subways, Geechee Dan?s Voice Stirs the Soul
3.4	Germany to Move 674 Tons of Gold from Downtown Manhattan to Frankfurt..	Germany to Repatriate Some of Its Gold Reserves
1.2	This just warmed my heart: Ada Bryant and Robert Haire	Ada Bryant, Robert Haire ? Weddings
3.8	#New York City Ties #Doctors? #Income to #Quality of #Care	New York City Hospitals to Tie Doctors? Performance Pay to Quality Measures
4.6	NY Times: Dot Earth Blog: Is 'Wild West' Era for Fracking Coming to an End?	Is 'Wild West' Era for Gas Drilling Coming to an End?
2.6	Children handcuffed 4 violating dress code! #MS fills #school2prison pipeline reports  grantee .	Report Criticizes School Discipline Measures Used in Mississippi
1.6	Congratulations to #Fruitvale and #BloodBrother! Sounds like #Sundance had some powerful films this year.	The Carpetbagger: 'Fruitvale,' Drama With Little Advance Buzz, Wins at Sundance
3.8	Sleep, perchance to dream And our memories not unseem MT : Brain ageing & Sleep-Related Memory Decline ”	Brain Aging Linked to Sleep-Related Memory Decline
2.8	My PBK membership, finally explained. Parents? Financial Support May Not Help College Grades:	Parents? Financial Support Linked to College Grades
4.2	Tennis: Sharapova takes on boys	Sharapova takes on Australian boys
1.6	FDA may find that poop is a drug. NYTimes: When Pills Fail, This, er, Option Provides a Cure	Disgusting, Maybe, but Treatment Works, Study Finds
2.2	Only great things can happen at the cheese monger : In the Dairy Case, Ripe Prose	Creative Cheesemongers Pen Clever Descriptions
2.8	Peter Likes: DealBook: Dell Shares Rise on News Company May Go Private	DealBook: Dell Shares Surge After Report of Possible Buyout
4	Kaepernick Backs Harbaugh's Gamble With Playoff Win	Kaepernick Responds to Harbaugh?s Gamble With Resounding Performance
3.8	Republican Governors Open New Front in #Tax Debate Offering Bold #Solutions!	The Caucus: Republican Governors Open New Front in Tax Debate
1.4	For the record, I chopped my hair into "The Karlie" before Karlie ; )	The ?Karlie? Is Turning Heads
1.2	Familiarize yourselves:  #NorthKorea	For the U.N. and North Korea: Game On
3.6	New mutations discovered in #melanoma  Useful in decoding how it develops.   #cancer	New Mutations Discovered in Melanomas
4.4	Not so good news.... NYTimes: German Economy Shrank in Fourth Quarter	German Economy Probably Shrank in Fourth Quarter
4.4	U.N. agencies: Stop the suffering in Syria  Again. Powerless.	U.N.: Stop the suffering in Syria
1.8	Conservative writer Nicholas Kristof: Guns are "an instrument not of protection but of escalation."	Op-Ed Columnist: Lessons From Guns and a Goose
2.6	NYTimes: Robot Makers Say Automation will create new and better jobs and not only delete jobs	Robot Makers Spread Global Gospel of Automation
4	New low for water levels in the Great Lakes #Drought	Water brings new lows on Great Lakes
3	Britain to Auction 250 MHz for High Speed Mobile -	Britain Set to Join High-Speed Mobile Party
3.4	NYTimes: Apps and Other Digital Tools Lend a Hand...	Tool Kit: Apps and Other Digital Tools Lend a Hand to New Mothers
2.2	Compared DNA from 6,000 visceral leishmaniasis blood samples from India & Brazil shows similar variations.	Global Update: A Genetic Link Found for Victims of Lethal Form of Leishmaniasis
4	So, can we just pass the ERA now? Pentagon Is Set to Lift Combat Ban for Women	Pentagon Lifting Ban on Women in Combat
3.2	Germany to Move 674 Tons of Gold  #germany #europe #USA	Germany to Repatriate Some of Its Gold Reserves
4.2	“: Secret Service Dog falls to its Death ”😢🐶	Secret Service dog falls to its death while on VP detail
4.4	*****NYTimes: Security Firm Discovers Cyber-Spy Campaign*****	Bits Blog: Security Firm Discovers Global Spy Campaign
1.8	#Obama plan: Tougher checks, no assault weapons -  - from  #guncontrol	GOP balks at gun control proposals
3.4	Ken Salazar leaving  to spend more time with his bolo ties.	Interior's Ken Salazar stepping down
3.2	Nike unveils Rory McIlroy as Tiger's heir apparent. $200 mil deal?!? Makes no business sense to me.	Nike unveils Rory: Tiger's heir apparent
3.6	Should babies be allowed to 'cry it out'? #attachment #parenting	Should babies just 'cry it out'?
4.4	Look of The Moment: #TaylorSwift	T Magazine: Look of The Moment | Taylor Swift
3	The plight of the Atlanta Falcons	NFL: Can Falcons turn it around?
2	New York State Has Gun Control Deal, With Focus on Mental Ills	New York Legislators Hope for Speedy Vote on New Gun Laws
2.8	Tribal Lessons -'The World Until Yesterday'	?The World Until Yesterday,? by Jared Diamond
3.8	So. Odd. ?: In his own words: Manti Te'o on his girlfriend, and her death - now revealed to be a hoax: ?	In his own words: Manti Te'o on girlfriend's death
3.4	J&J was aware of 40% failure rate in DePuy Hip Implants.	Maker Aware of 40% Failure in Hip Implant
2	Following #Colorado #marijuana legal decisions closely. Maybe some lessons for CA dispensaries mess	Op-Ed Columnist: Colorado?s Marijuana Muddle
4.2	NY Times - A Sprint That Is Littered With Pitfalls	Slap Shot: N.H.L.?s Sprint of a Season Includes Pitfalls
4.2	Returning Zing to Dutch Cooking  ?Let?s go Dutch?? #Gartine	Putting Spice Into Dutch Cooking
4	Obama must prove himself on Palestine: NYTimes: Netanyahu Issues Veiled Barb in Response to Criticism From Obama	Netanyahu Issues Veiled Response to Criticism From Obama
4.2	America, the Saudi Arabia of tomorrow - Good or Bad?	America, Saudi Arabia of tomorrow
0	It hurts my stomach.	9 calorie bombs at restaurants
2.6	Do you need a "Stop Day"	The importance of a 'stop day'
4	What happened in Australia ... I Went After Guns. Obama Can, Too.	Op-Ed Contributor: Australia Banned Assault Weapons. America Can, Too.
2.4	Will President Obama's gun proposals work?  Recalling Pain, Mayors Urge Bills? Passage	Recalling Pain of Guns? Toll, Mayors Urge Bills? Passage
4.6	NYT Books - Books of The Times: ?The River Swimmer,? a pair of Novellas by Jim Harrison: ?The River Swimmer,? Ji...	Books of The Times: ?The River Swimmer,? Two Novellas by Jim Harrison
3.8	Baby boomers getting tech savvy:	Grandparents: the new techies?
0.6	v  Kerry says #Iran must come clean on #nuclear program	Kerry confirmation hearing
4.2	Woah. Fox News did not renew Sarah Palin's contract, which just expired.	Fox News and Sarah Palin Part Ways
4.2	Awe - one of the original "bloggers" passes away. Pauline Phillips, Adviser to Millions as Dear Abby, Dies at 94	Pauline Phillips, Flinty Adviser to Millions as Dear Abby, Dies at 94
4.6	Don't get any ideas, . U.S. programmer outsources own job to China, surfs cat videos -	U.S. man outsources job to China, surfs cat videos
2	Filmmaker Jason da Silva on the challenges of navigating NY with #MS: The Long Wait?  #sundance	Op-Docs: ?The Long Wait?
0	This thing reads like one of those pre-written 'death' articles. Creepy.	Burt Reynolds in intensive care in Florida hospital after flu, rep says
4	UnfairRT : Readers sue Lance Armstrong for book refund after doping admission:  What do you think?	Readers sue Armstrong for book refund
2.8	200 dead in night club fire	Hundreds killed in Brazil nightclub fire
4.6	NYT- Pentagon Lifts Ban on Women Serving in Combat Roles	Pentagon Lifting Ban on Women in Combat
1.2	"An earlier version of this review misidentified the torso that was featured when Picnic opened on Broadway..."	Theater Review: ?Picnic? at American Airlines Theater
0.25	Here's to two more years of Reince Penis jokes.	Priebus Re-elected to Lead Republican National Committee
3	New York passes gun control bill Interesting, I like that they actually focused on mental health.	New York to pass first gun control bill since Newtown shooting
5	Miss Montana has a great story to tell.  #autism	Miss Montana on her autism
5	CGG - 30 die when bus plunges off cliff in Nepal -	30 killed as bus plunges off cliff in Nepal
2.4	A surprisingly refreshing view from old Johnny Howard. I Went After Guns. Obama Can, Too.	Op-Ed Contributor: Australia Banned Assault Weapons. America Can, Too.
3.2	": In today?s Gun Challenge editorial, Obama puts politics aside and takes action on gun reform. "	Editorial: President Obama?s Plan for Gun Reform
